ticker,week_start,n_posts_week,n_comments_week,n_total_week,mean_compound_w,score_weighted_compound_w,median_compound_week,days_covered
AAPL,2025-05-13,0.0,2.0,2.0,-0.13914999999999997,-0.13914999999999997,-0.13914999999999997,2.0
AAPL,2025-05-20,0.0,15.0,15.0,0.018559999999999927,0.005890334340382727,0.0,3.0
AAPL,2025-05-27,1.0,7.0,8.0,0.1762625,0.5262087897042718,0.48,3.0
AAPL,2025-06-03,0.0,1.0,1.0,0.9753,0.9753,0.9753,1.0
AAPL,2025-06-24,0.0,1.0,1.0,0.8074,0.8074,0.8074,1.0
AAPL,2025-07-01,0.0,2.0,2.0,0.1675,0.1675,0.1675,2.0
AAPL,2025-07-08,2.0,2.0,4.0,0.36315,0.9642801376549837,0.4993,2.0
AAPL,2025-07-15,0.0,1.0,1.0,0.4854,0.4854,0.4854,1.0
AAPL,2025-07-22,0.0,2.0,2.0,0.97215,0.97215,0.97215,2.0
AAPL,2025-07-29,0.0,2.0,2.0,-0.0515,-0.0515,-0.0515,2.0
AAPL,2025-08-05,0.0,5.0,5.0,-0.023040000000000005,0.07091969530773919,0.16645,3.0
AAPL,2025-08-12,0.0,2.0,2.0,0.59115,0.59115,0.59115,2.0
AAPL,2025-08-19,0.0,1.0,1.0,0.0,0.0,0.0,1.0
AAPL,2025-09-02,0.0,2.0,2.0,0.0566,0.0566,0.0566,2.0
AAPL,2025-09-09,1.0,12.0,13.0,0.3432923076923076,-0.040505304736239874,-0.17522499999999996,2.0
AAPL,2025-09-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0
AAPL,2025-09-23,0.0,1.0,1.0,0.9546,0.9546,0.9546,1.0
AAPL,2025-10-07,0.0,2.0,2.0,-0.2517,-0.2517,-0.2517,2.0
AAPL,2025-10-14,0.0,2.0,2.0,0.5836,0.5836,0.5836,2.0
AAPL,2025-10-21,0.0,3.0,3.0,-0.2404666666666667,-0.2404666666666667,-0.3607,2.0
AAPL,2025-10-28,0.0,8.0,8.0,-0.12273749999999999,0.006587500000000017,0.06975,5.0
AAPL,2025-11-04,0.0,5.0,5.0,0.39977999999999997,0.2755954509803922,0.4637,3.0
AAPL,2025-11-11,0.0,1.0,1.0,0.9468,0.9468,0.9468,1.0
ADBE,2025-07-15,0.0,1.0,1.0,0.0,0.0,0.0,1.0
ADBE,2025-09-02,0.0,1.0,1.0,0.8073,0.8073,0.8073,1.0
ADBE,2025-09-09,0.0,2.0,2.0,0.13955,0.13955,0.13955,2.0
ADBE,2025-10-07,0.0,1.0,1.0,0.6369,0.6369,0.6369,1.0
AMC,2025-05-20,0.0,1.0,1.0,0.9989,0.9989,0.9989,1.0
AMC,2025-07-22,0.0,3.0,3.0,0.0,0.0,0.0,2.0
AMC,2025-07-29,0.0,1.0,1.0,-0.103,-0.103,-0.103,1.0
AMC,2025-08-05,0.0,1.0,1.0,0.9466,0.9466,0.9466,1.0
AMC,2025-08-12,0.0,1.0,1.0,0.0,0.0,0.0,1.0
AMC,2025-08-26,0.0,1.0,1.0,0.296,0.296,0.296,1.0
AMC,2025-09-23,0.0,1.0,1.0,0.3612,0.3612,0.3612,1.0
AMC,2025-10-14,0.0,3.0,3.0,0.37266666666666665,0.3827098039215686,0.34199999999999997,2.0
AMC,2025-10-21,2.0,11.0,13.0,0.05185384615384617,0.15382867271393225,0.06985,5.0
AMC,2025-10-28,0.0,2.0,2.0,0.4815,0.4815,0.4815,2.0
AMC,2025-11-04,0.0,3.0,3.0,-0.12466666666666669,-0.12466666666666669,-0.296,3.0
AMD,2025-05-20,0.0,3.0,3.0,0.6569333333333333,0.6301,0.682325,2.0
AMD,2025-06-17,0.0,1.0,1.0,0.8955,0.8955,0.8955,1.0
